config_id,status,config.buckets,config.emsize,config.epochs,config.learning_rate,config.nhead,config.nhid,config.nlayers,config.seq_len,config.steps,metadata.time_end,metadata.time_sampled,result.loss,result.info_dict.total_mae_for_set,result.info_dict.training_error
18_1,complete,1000,256,1000,2.5588748050825984e-05,4,512,8,700,86,1723443464.7122378,1723425830.7307246,1.1761184930801392,0.03576418519978514,2.029592593048894
45_1,complete,1000,256,1000,7.714691367274752e-05,4,512,2,700,74,1723623047.9771173,1723617685.295372,1.1798418760299683,0.03686139797615747,2.022166811131142
66_0,complete,100,512,333,4.9751213860173736e-05,8,1024,4,700,57,1723658634.0963006,1723654151.7929385,1.1833734512329102,0.03734378248891045,2.057470106241996
36_0,complete,100,512,333,4.005023558316121e-05,4,512,6,500,98,1723546690.9415529,1723540662.2211287,1.1889402866363525,0.03791028620564181,2.0375797152519226
75_0,complete,100,256,333,0.00021556200839971737,4,512,4,700,91,1723722149.009124,1723718647.0884888,1.1936147212982178,0.041043473411075684,2.02624809217977
16_0,complete,1000,256,333,0.0007410683083052474,4,512,4,500,60,1723409996.5612965,1723408100.3367178,1.196792721748352,0.0414602113728514,2.0437847395737965
6_0,complete,1000,256,333,0.0007305165128697164,8,512,3,500,74,1723360921.559122,1723358833.8070545,1.1993294954299927,0.041741096955572494,2.0487686266770235
52_0,complete,100,256,333,0.000181365880332983,4,512,8,500,60,1723613845.7259674,1723610990.7520373,1.2004417181015015,0.04133163380232881,2.0408190906047823
56_1,complete,1000,256,1000,1.5157818818583494e-05,8,1024,4,500,86,1723624804.8289723,1723615328.0357583,1.2009556293487549,0.039437481589617414,2.0654827522677044
30_1,complete,100,512,1000,2.5245879223729737e-05,4,1024,6,300,65,1723563570.4343886,1723554928.3008265,1.2037041187286377,0.04036107362853479,2.0424229878645677
45_0,complete,1000,256,333,7.714691367274752e-05,4,512,2,700,74,1723606447.0995502,1723604644.4959693,1.2046476602554321,0.03864143289090657,2.0498920066936597
24_1,complete,1000,512,1000,0.00010512634671671629,4,512,2,300,94,1723425830.527,1723420254.1479664,1.2057405710220337,0.04227703672979623,2.0460375420590666
66_1,complete,100,512,1000,4.9751213860173736e-05,8,1024,4,700,57,1723671912.448098,1723658634.4200394,1.2085802555084229,0.04472163501524813,2.039469135435004
71_1,complete,1000,256,1000,1.2184387966622545e-05,8,1024,3,500,88,1723681901.5258973,1723673933.3794315,1.2140463590621948,0.04243942442646243,2.057913501154293
25_1,complete,1000,512,1000,5.7277635052390375e-05,4,1024,3,200,82,1723439538.1341615,1723434457.7949867,1.2170957326889038,0.04289922914645134,2.0505603871694427
54_1,complete,100,512,1000,4.209828434149664e-05,8,512,3,200,85,1723617685.0480947,1723612995.7281666,1.2190442085266113,0.04454845829290269,2.0523591069614184
24_2,complete,1000,512,3000,0.00010512634671671629,4,512,2,300,94,1723456884.0669374,1723441081.5302172,1.2203006744384766,0.0466725507693374,2.0426538155433978
6_1,complete,1000,256,1000,0.0007305165128697164,8,512,3,500,74,1723368951.5239737,1723362870.4712436,1.2218328714370728,0.048084443010119216,2.022898545136323
0_0,complete,100,512,333,0.000190813562469311,8,512,12,700,89,1723362655.3618646,1723345692.2298265,1.2218470573425293,0.04515152286352925,2.016034462478723
