config_id,status,config.buckets,config.emsize,config.epochs,config.learning_rate,config.nhead,config.nhid,config.nlayers,config.seq_len,config.steps,metadata.time_end,metadata.time_sampled,result.loss,result.info_dict.total_mae_for_set,result.info_dict.training_error
77_0,complete,100,256,333,0.00015506315924394446,8,1024,4,300,61,1723724397.262892,1723722946.6277273,1.2221486568450928,0.04452446793994316,2.081939341592007
30_0,complete,100,512,333,2.5245879223729737e-05,4,1024,6,300,65,1723530214.1992836,1723527272.7360954,1.223095178604126,0.04415327401580261,2.0659408569335938
34_0,complete,10000,512,333,4.367276334319552e-05,8,512,4,700,73,1723544877.0465586,1723538846.5017056,1.2239463329315186,0.04279969936928195,2.060186560839823
18_0,complete,1000,256,333,2.5588748050825984e-05,4,512,8,700,86,1723415951.4861424,1723409996.6527956,1.224509835243225,0.04248821464773357,2.0613456354584803
10_1,complete,100,256,1000,0.0004555091585467675,4,512,4,700,55,1723376921.329896,1723370432.9732835,1.2250078916549683,0.0483550539749099,2.0169606707312844
36_1,complete,100,512,1000,4.005023558316121e-05,4,512,6,500,98,1723565724.47894,1723547708.9894617,1.225296139717102,0.04685434788258941,2.0312699578246294
50_0,complete,1000,256,333,0.0009256237518448497,4,1024,4,200,84,1723610990.5880568,1723609573.751896,1.2258212566375732,0.04801599429061547,2.0684376940840767
56_2,complete,1000,256,3000,1.5157818818583494e-05,8,1024,4,500,86,1723655142.7277358,1723626396.4813457,1.2261942625045776,0.04910134590726365,2.0446470920429674
40_1,complete,100,256,1000,0.0002937286846995382,8,1024,2,200,79,1723566452.3085673,1723563572.3309782,1.2269450426101685,0.046340990608538954,2.0619483959825735
19_0,complete,10000,256,333,0.0002348019837548506,8,1024,8,300,79,1723419067.1915655,1723415305.845168,1.2281049489974976,0.0445559794756723,2.0489804548553274
62_0,complete,1000,512,333,0.0005075274806914454,8,512,6,300,57,1723650895.9409482,1723648278.722968,1.2292219400405884,0.047506671056279454,2.0506316339760495
21_0,complete,1000,256,333,0.0004242908748146805,4,1024,8,200,59,1723418472.1476662,1723416856.5575001,1.2314691543579102,0.04608884417452176,2.0643660072552956
47_0,complete,1000,512,333,1.2230273186975494e-05,8,1024,12,500,60,1723615325.355527,1723606447.2476978,1.2321207523345947,0.04446146923516773,2.060690685113271
14_2,complete,100,512,3000,0.00016342153762796685,8,1024,2,200,53,1723409337.4454925,1723401361.4887502,1.2321749925613403,0.04783864274327696,2.043233705016802
65_0,complete,1000,256,333,0.0007021384799951963,8,1024,3,100,52,1723654151.5529878,1723653403.8679316,1.2324482202529907,0.04286259789991683,2.0833655825028052
62_1,complete,1000,512,1000,0.0005075274806914454,8,512,6,300,57,1723679221.2963097,1723671912.66173,1.2330896854400635,0.04874702184987524,2.0384863301327356
43_2,complete,10000,512,3000,0.00042120286904960997,8,512,2,300,64,1723593514.1787574,1723579517.0546043,1.2337530851364136,0.04784570908130025,2.0325059089809656
18_2,complete,1000,256,3000,2.5588748050825984e-05,4,512,8,700,86,1723496123.4376693,1723443464.8661432,1.2338088750839233,0.04882143228444691,2.02246084878611
27_2,complete,1000,512,3000,7.811673708966401e-05,4,1024,12,700,52,1723527272.3009825,1723439538.2672417,1.2350223064422607,0.048424239109717215,2.0160679863049435
11_1,complete,10000,512,1000,8.044119205730574e-05,8,1024,3,200,59,1723382061.6888487,1723376921.3488796,1.2354741096496582,0.04668873566156086,2.0556428129390136
15_0,complete,10000,512,333,0.0004628901704065438,8,1024,2,300,63,1723408100.295287,1723406003.8549619,1.2356810569763184,0.04700287635153867,2.0590674631179327
6_2,complete,1000,256,3000,0.0007305165128697164,8,512,3,500,74,1723434457.5699213,1723416561.8381608,1.235697865486145,0.04767968533407264,2.025829903177313
29_2,complete,100,512,3000,0.00029650297479911163,8,1024,4,700,60,1723537767.8239644,1723496123.6387944,1.2357679605484009,0.04858649414333241,2.0137271881103516
23_0,complete,10000,512,333,9.201598464012388e-05,8,1024,2,500,51,1723421643.839472,1723419067.289848,1.235818862915039,0.044632848237801497,2.0803188389422846
40_2,complete,100,256,3000,0.0002937286846995382,8,1024,2,200,79,1723579516.9073706,1723571190.5534627,1.2359404563903809,0.04850452462226227,2.0531922578811646
16_1,complete,1000,256,1000,0.0007410683083052474,4,512,4,500,60,1723426805.9182792,1723421643.958189,1.2366697788238525,0.05132968446770169,2.0439803560574847
22_0,complete,100,512,333,0.00010714557892467689,4,1024,4,200,68,1723420254.0264285,1723418472.1736171,1.2369682788848877,0.047074860947463264,2.067907287794001
60_0,complete,10000,256,333,0.00021139584319296864,8,512,12,700,82,1723645332.940882,1723634168.3354237,1.2382307052612305,0.047691652082755755,2.0208404820139814
30_2,complete,100,512,3000,2.5245879223729737e-05,4,1024,6,300,65,1723604644.2017703,1723579248.9282699,1.2383171319961548,0.04945225862905461,2.034476720369779
19_1,complete,10000,256,1000,0.0002348019837548506,8,1024,8,300,79,1723437928.9229238,1723426806.0823495,1.2383238077163696,0.048493148088785694,2.0414948312542105
57_2,complete,1000,256,3000,0.00011175013100355525,4,1024,3,300,65,1723634168.1298103,1723623066.1882062,1.2391308546066284,0.050735640984543945,2.02832620877486
20_0,complete,100,512,333,0.000798084677873582,8,512,3,100,63,1723416856.4230986,1723415951.5727718,1.239904522895813,0.04802980749237593,2.089231358634101
0_1,complete,100,512,1000,0.000190813562469311,8,512,12,700,89,1723416561.6890259,1723366623.4061112,1.2406913042068481,0.04901633325824785,2.010935578453407
42_2,complete,10000,256,3000,0.0002629525544155514,8,512,8,700,54,1723612995.4903374,1723566452.4664538,1.2415306568145752,0.04961825530219018,2.0391878154542713
63_0,complete,100,256,333,0.00027750348565142106,4,512,8,100,68,1723652110.0427067,1723650896.0876234,1.2415388822555542,0.04757794631099251,2.0795082835590137
72_1,complete,10000,256,1000,0.00010405644057503165,4,1024,6,700,65,1723692220.1612258,1723676423.2010157,1.242202639579773,0.049434725447047405,2.0158227186936597
73_2,complete,1000,512,3000,4.993373208978317e-05,4,512,8,200,99,1723713201.9605188,1723681901.7318864,1.2430070638656616,0.05003503387510396,2.0514562033643626
44_2,complete,100,512,3000,2.1888431848706007e-05,8,1024,6,100,71,1723606240.5024939,1723593514.2921493,1.2433589696884155,0.04903529595231494,2.1147649825458794
66_2,complete,100,512,3000,4.9751213860173736e-05,8,1024,4,700,57,1723718646.7838316,1723679221.46851,1.2440544366836548,0.051014276710216244,1.9977210383666189
34_1,complete,10000,512,1000,4.367276334319552e-05,8,512,4,700,73,1723579248.744621,1723561445.3362904,1.2441177368164062,0.05133147135777655,2.028832600541311
12_2,complete,10000,512,3000,6.711707135365527e-05,8,512,2,100,51,1723391851.077469,1723385317.6718087,1.244825839996338,0.04620041650783199,2.0575789867662917
55_1,complete,100,256,1000,0.00017110270029395538,4,1024,6,700,71,1723626396.1166759,1723613845.8909717,1.2448397874832153,0.05010125710424175,2.029175906114175
28_2,complete,10000,256,3000,6.565029689193578e-05,8,1024,8,700,96,1723554921.8809936,1723456884.3332567,1.2451248168945312,0.05045210484821181,2.0142182980974517
58_2,complete,100,512,3000,0.00010754170210739487,8,512,12,200,100,1723670763.6235106,1723624807.8906462,1.2453385591506958,0.05014753755718048,2.032734829187393
67_0,complete,100,256,333,0.0004652795529246343,4,512,2,100,59,1723655762.3351016,1723655147.8843856,1.2455475330352783,0.048648526303021904,2.093282424797446
17_0,complete,1000,256,333,2.159168387343249e-05,8,1024,12,500,60,1723415305.671763,1723409337.5606546,1.2461004257202148,0.04498483580104658,2.0698158025741575
63_1,complete,100,256,1000,0.00027750348565142106,4,512,8,100,68,1723673933.1688943,1723670768.795381,1.248044729232788,0.05037812759911284,2.09023060167537
26_1,complete,10000,256,1000,0.0008284430237434712,8,1024,2,100,81,1723441081.441853,1723437929.259423,1.2488174438476562,0.04740812136124203,2.0798985722624224
31_0,complete,10000,512,333,0.0009240849603422496,4,1024,4,200,66,1723532287.9349384,1723530214.2365892,1.249428153038025,0.04735870572844469,2.0750182379375803
13_2,complete,10000,256,3000,0.00014208188750061243,4,1024,4,300,51,1723406003.7717612,1723391851.1339147,1.2495275735855103,0.05196106312378708,2.0274626530852973
10_2,complete,100,256,3000,0.0004555091585467675,4,512,4,700,55,1723401361.3712573,1723382061.7422502,1.2498779296875,0.05186293578458553,2.0261922597885134
70_1,complete,100,256,1000,3.955062792302355e-05,4,512,6,100,80,1723676422.9731197,1723673313.5363612,1.250206470489502,0.048488009426115884,2.0797284334897994
3_1,complete,10000,512,1000,6.119302503688467e-05,4,512,12,300,71,1723385317.5557392,1723368951.5821679,1.2504736185073853,0.049950692663570835,2.0345718961366464
64_0,complete,1000,512,333,7.380527053313169e-05,4,1024,2,100,95,1723653403.774574,1723652110.3091145,1.2536718845367432,0.046480053974909896,2.111561245667307
3_0,complete,10000,512,333,6.119302503688467e-05,4,512,12,300,71,1723355941.9292462,1723350436.120426,1.254266619682312,0.049310845231494316,2.061499278310319
41_1,complete,10000,512,1000,3.2112646982114245e-05,4,1024,4,200,60,1723571190.3872433,1723565724.690885,1.2558571100234985,0.04998859639243138,2.0577200571695964
38_0,complete,100,512,333,3.26229359688671e-05,8,1024,2,200,83,1723547708.8570395,1723546358.1517766,1.2630958557128906,0.04945102405045745,2.0902309776788734
7_0,complete,1000,256,333,0.00013491483534641463,8,1024,3,200,53,1723361799.1013956,1723360921.5885882,1.2649492025375366,0.05053978158788467,2.060968763423416
35_0,complete,1000,256,333,3.927156428776047e-05,8,1024,2,300,77,1723540662.1791925,1723539392.6643307,1.2738111019134521,0.05171132086914333,2.0714762443071835
8_0,complete,1000,256,333,0.00010657961155813669,8,512,6,100,75,1723362870.4081073,1723361799.1273034,1.2794687747955322,0.050891549850984194,2.0775125408172608
33_0,complete,10000,256,333,0.00032435743149522816,4,512,2,100,96,1723538846.4686565,1723537768.0364857,1.2875893115997314,0.0521573881948295,2.09927049651742
68_0,complete,10000,256,333,5.241713560525937e-05,8,1024,3,300,68,1723657824.698436,1723655766.03112,1.2925535440444946,0.05146849333760743,2.10109543800354
2_0,complete,1000,256,333,1.5471049524509864e-05,8,512,6,300,98,1723350436.0934627,1723347703.8518727,1.2958165407180786,0.05483606637267813,2.0785741295133318
69_0,complete,10000,256,333,3.065429063213426e-05,8,1024,6,300,79,1723661081.3626146,1723657824.838915,1.3075225353240967,0.055865168855697256,2.0911074092116535
37_0,complete,100,512,333,1.8805835600053726e-05,8,1024,6,100,69,1723546358.111173,1723544877.213997,1.3195120096206665,0.06063599208136956,2.1331341594889546
76_0,complete,100,256,333,3.4512478623978955e-05,4,1024,6,100,50,1723722946.5165684,1723722149.2391055,1.3331918716430664,0.06368842268505684,2.1140157079696653
48_0,complete,100,256,333,1.362472875738445e-05,8,512,3,200,64,1723608644.5621057,1723607725.0643191,1.3525060415267944,0.0682796797026615,2.093280404806137
61_0,complete,10000,512,333,2.2744905547968338e-05,4,1024,8,200,55,1723648278.6397867,1723645359.0673084,1.36668062210083,0.06576275298031606,2.164452372897755
4_0,complete,1000,256,333,3.1862777965026385e-05,4,512,6,100,87,1723357178.7049804,1723355941.942428,1.3705812692642212,0.06825626061304409,2.1259968965903098
1_0,complete,100,512,333,1.2870976001995994e-05,8,512,2,100,100,1723347703.8023694,1723346495.7616932,1.3785771131515503,0.0708741466246188,2.12995010137558
49_0,complete,1000,512,333,4.28868482312834e-05,8,512,2,100,79,1723609568.2121816,1723608674.078256,1.385310411453247,0.06960266062517327,2.1141612605203557
46_0,complete,10000,256,333,2.8930739190898723e-05,8,512,8,200,52,1723607724.9001014,1723606245.0887773,1.421220302581787,0.07863582855385362,2.127606983368213
45_2,complete,1000,256,3000,7.714691367274752e-05,4,512,2,700,74,1723633892.2381845,1723623758.7144175,1.4220929145812988,0.08239295986969782,2.168274267299755
50_1,complete,1000,256,1000,0.0009256237518448497,4,1024,4,200,84,1723623758.4927442,1723620551.2708707,1.4269665479660034,0.08305147218082895,2.162356206348964
52_1,complete,100,256,1000,0.000181365880332983,4,512,8,500,60,1723620551.0814884,1723615659.1195788,1.4291472434997559,0.08318959878361519,2.1590945680936175
51_0,complete,100,512,333,0.00016372804403638904,8,512,12,200,60,1723612136.7970366,1723609791.4235034,1.4291521310806274,0.08332273833864708,2.1646919091542562
53_0,complete,10000,256,333,0.000396656334595778,8,1024,4,700,51,1723615658.887111,1723612136.9714632,1.4380322694778442,0.08516109084765733,2.1552557150522866
5_0,complete,10000,256,333,2.381234867990367e-05,8,512,12,100,70,1723358833.7928848,1723357178.7174306,1.4604434967041016,0.08202055573364292,2.148028380530221
39_1,complete,100,512,1000,0.0008560542472135575,8,1024,12,200,85,1723561445.1152644,1723546691.1100485,2.476857900619507,0.22208050318824507,2.7821522572461297
32_0,complete,10000,512,333,0.0007553242540676196,4,1024,12,300,79,1723539392.5101469,1723532288.0117052,2.477196216583252,0.22230731910174661,2.764885214310658
9_1,complete,1000,512,1000,0.000908071464367566,4,1024,8,100,95,1723370432.867094,1723362655.7105596,2.4802379608154297,0.22080212953978376,2.7574188332808647
74_2,pending,10000,256,3000,5.447205099322344e-05,8,1024,4,300,83,,,,,
72_2,pending,10000,256,3000,0.00010405644057503165,4,1024,6,700,65,,,,,
