config_id,status,config.buckets,config.emsize,config.epochs,config.learning_rate,config.nhead,config.nhid,config.nlayers,config.seq_len,config.steps,metadata.time_end,metadata.time_sampled,result.loss
53_0,complete,10000,512,333,5.1512821251241156e-05,4,512,4,700,82,1724526388.3482933,1724521441.5394452,1.2866919040679932
94_0,complete,1000,512,333,1.6243862182834902e-05,4,512,3,1000,96,1724634804.3169827,1724629487.8555224,1.2871243953704834
106_0,complete,5000,512,333,0.0007188423244563813,4,512,6,1000,83,1724670437.4913387,1724661263.9041884,1.2912659645080566
93_1,complete,10000,256,1000,0.0003086330813575995,8,512,2,1400,88,1724661263.4525676,1724642308.9526627,1.2916302680969238
99_1,complete,10000,256,1000,2.2472766063821784e-05,8,1024,3,300,95,1724641674.26609,1724635678.3746908,1.2919666767120361
35_0,complete,1000,256,333,2.583398808212563e-05,8,1024,4,500,84,1724484758.7486844,1724482253.3595467,1.2923455238342285
18_0,complete,100,256,333,5.441648922110626e-05,4,1024,2,300,56,1724430910.3106012,1724430296.965406,1.2965214252471924
70_2,complete,5000,256,3000,6.657589116444639e-05,8,1024,2,500,54,1724596993.6862466,1724586196.9910305,1.2983410358428955
115_1,complete,10000,256,1000,2.078414681411914e-05,8,512,8,500,95,1724688389.4289181,1724673691.8879995,1.3013845682144165
66_0,complete,100,512,333,0.00010231179691874717,8,1024,8,300,67,1724552477.731187,1724549192.538415,1.303271770477295
81_0,complete,1000,512,333,0.0004730774169644768,4,512,3,200,50,1724598787.1643896,1724598069.6253302,1.303799033164978
7_0,complete,100,256,333,0.00010556665253909878,8,1024,4,200,65,1724404244.8025072,1724403272.9994645,1.3046218156814575
64_0,complete,10000,256,333,3.090765651083853e-05,8,1024,4,1000,67,1724549704.4982836,1724543754.0545166,1.3054563999176025
0_0,complete,5000,512,333,3.7348973478010356e-05,4,512,3,700,75,1724400708.1451652,1724397371.2955663,1.30547034740448
61_1,complete,5000,256,1000,5.001870644377451e-05,4,1024,6,700,68,1724572895.8396227,1724562015.1564457,1.3082960844039917
110_0,complete,1000,256,333,8.931729769767543e-05,8,512,8,300,58,1724672109.1764143,1724670438.1455617,1.3120298385620117
51_0,complete,100,256,333,1.0770534615502479e-05,8,1024,6,300,86,1724521441.345122,1724519471.3642497,1.3135086297988892
22_0,complete,1000,512,333,3.845730313868095e-05,4,512,3,300,78,1724436646.1355581,1724435113.8228009,1.3137366771697998
20_0,complete,1000,256,333,4.301062903831536e-05,8,1024,2,300,74,1724435864.2537143,1724434798.252602,1.3145976066589355
54_1,complete,1000,512,1000,1.9600812515826344e-05,4,512,6,300,77,1724529173.6042383,1724522075.5324528,1.3148082494735718
111_1,complete,100,512,1000,0.0009058432428291034,8,512,3,700,56,1724682332.8816543,1724675130.8710546,1.315370798110962
58_2,complete,5000,512,3000,4.7730385587305234e-05,8,1024,2,1400,97,1724614456.5534823,1724534929.5997727,1.3171592950820923
77_0,complete,10000,256,333,0.0005427201818653226,8,512,3,300,87,1724595550.0055704,1724593829.625555,1.3197131156921387
82_1,complete,10000,256,1000,0.00020580003734531297,8,1024,4,1400,69,1724636352.2648845,1724608292.1341052,1.319871425628662
108_0,complete,1000,512,333,0.0008315306607576449,4,512,4,200,81,1724670334.1227095,1724668841.7673361,1.320778489112854
68_0,complete,10000,256,333,2.3173928578014577e-05,4,1024,6,1400,62,1724559636.1098351,1724550781.7165196,1.323781967163086
105_0,complete,10000,512,333,1.1830759766113843e-05,4,1024,6,1000,87,1724671167.639203,1724659033.101898,1.3308018445968628
33_0,complete,5000,256,333,0.0005472738864965159,4,1024,2,200,75,1724481966.2986348,1724481140.3268151,1.3336468935012817
36_1,complete,5000,512,1000,0.00018698239520574157,4,1024,2,1000,74,1724518248.404045,1724505806.987955,1.3346339464187622
55_1,complete,100,256,1000,0.00013573550741797838,8,512,3,700,83,1724530983.878534,1724523897.9645486,1.3349359035491943
46_0,complete,1000,256,333,4.075935406855251e-05,8,1024,6,200,84,1724500881.6972215,1724499431.5744116,1.3357046842575073
86_1,complete,5000,256,1000,2.8852265171843594e-05,8,512,3,200,87,1724605527.8117268,1724602677.7803266,1.338780164718628
4_1,complete,10000,512,1000,0.00030240765568406524,4,512,3,1400,68,1724428947.9793777,1724408615.481466,1.3503681421279907
107_1,complete,100,512,1000,0.00020273130674637794,8,1024,3,1000,85,1724692010.8094137,1724674027.4600904,1.3525748252868652
1_0,complete,1000,256,333,6.635119445083346e-05,8,512,3,200,67,1724398207.2087872,1724397426.1051867,1.356069564819336
62_0,complete,10000,256,333,0.000750475836508246,4,512,8,1400,60,1724549192.231157,1724540363.856045,1.3572932481765747
11_1,complete,10000,512,1000,3.432477061169166e-05,8,1024,4,700,92,1724428367.0444863,1724407060.0718982,1.3633406162261963
113_0,complete,5000,512,333,2.2844431211303955e-05,8,1024,3,300,68,1724673947.4553542,1724672110.1251388,1.3651221990585327
52_1,complete,100,256,1000,0.0005538164689270808,4,1024,3,1000,71,1724536194.2693937,1724527143.9254441,1.373407244682312
45_0,complete,5000,512,333,9.092186623981651e-05,4,1024,4,200,62,1724499431.5179543,1724498078.5900602,1.3743246793746948
112_0,complete,1000,512,333,1.755016186318228e-05,4,1024,2,200,83,1724673002.1370666,1724671963.0977032,1.3804552555084229
91_0,complete,5000,512,333,0.0003651986975056412,8,1024,4,200,93,1724622855.1055698,1724620735.9124002,1.3839056491851807
27_2,complete,100,256,3000,3.2485223624307045e-05,8,512,6,700,64,1724472715.1898568,1724443821.2656066,1.3867859840393066
49_1,complete,100,512,1000,6.344126732976414e-05,4,1024,6,1400,77,1724565189.2275548,1724526388.609342,1.3902639150619507
83_0,complete,5000,256,333,0.0005221961615319592,8,512,6,500,89,1724603147.1020324,1724599477.558834,1.3936023712158203
98_1,complete,100,256,1000,0.0001802368953088549,4,1024,4,1400,93,1724671962.6312299,1724651604.0905485,1.3950273990631104
80_0,complete,10000,512,333,0.0006857945538813334,4,512,6,200,55,1724599477.3217578,1724597857.6253448,1.397295594215393
90_0,complete,5000,512,333,6.0898716867304774e-05,8,1024,3,300,100,1724623204.287141,1724620719.1022859,1.3992565870285034
96_0,complete,10000,256,333,5.627071226907234e-05,8,1024,3,200,51,1724635674.474115,1724634808.2154443,1.4015623331069946
114_1,complete,10000,256,1000,8.361337254733684e-05,8,1024,6,700,68,1724688010.873104,1724673011.6252048,1.4034862518310547
117_2,complete,100,512,3000,0.0009939066543926643,8,512,2,300,94,1724699485.5443447,1724688043.6056166,1.404029130935669
38_1,complete,5000,512,1000,0.00014045856506467335,8,1024,6,1400,66,1724547824.0121439,1724503777.3533409,1.4076586961746216
78_2,complete,5000,256,3000,0.00013619585925061988,4,512,3,700,74,1724662759.9762902,1724644632.259389,1.4087183475494385
85_2,complete,1000,512,3000,3.587962704039714e-05,8,1024,4,1000,51,1724659032.6203117,1724616184.2127788,1.4088482856750488
72_2,complete,100,256,3000,0.0002592139759649271,4,1024,2,200,64,1724573771.7610834,1724568893.4783745,1.412485122680664
17_0,complete,100,256,333,1.3040553642210096e-05,4,1024,2,200,64,1724430296.941213,1724429747.4392426,1.4146928787231445
40_1,complete,100,256,1000,0.0004909824776218405,4,512,4,700,100,1724498078.3968523,1724489547.589158,1.4152859449386597
39_2,complete,1000,512,3000,4.0781032438551304e-05,8,1024,4,1400,59,1724592204.2525928,1724514858.0072913,1.4153544902801514
19_1,complete,100,512,1000,0.0002104401842318436,4,1024,4,700,93,1724482253.2075214,1724466818.5786877,1.4156503677368164
21_1,complete,100,256,1000,0.00014496529374536814,8,512,4,500,96,1724478773.3893805,1724471537.0028403,1.4159367084503174
23_1,complete,10000,256,1000,0.00010845194724630912,8,512,6,1400,94,1724495322.9282215,1724450846.3428721,1.4188520908355713
50_1,complete,100,256,1000,0.00015662685108682234,8,1024,8,700,51,1724537638.4464986,1724526453.8543136,1.4211207628250122
16_0,complete,1000,256,333,2.9013689743104833e-05,8,512,6,200,50,1724429747.4041944,1724428948.1064103,1.4215835332870483
115_2,complete,10000,256,3000,2.078414681411914e-05,8,512,8,500,95,1724734518.8080983,1724690371.315018,1.4217989444732666
75_1,complete,1000,512,1000,0.00016747657785047505,8,1024,8,1000,66,1724644631.7691576,1724609520.516153,1.424145221710205
11_2,complete,10000,512,3000,3.432477061169166e-05,8,1024,4,700,92,1724491931.7624116,1724428367.2994463,1.4242924451828003
26_1,complete,100,256,1000,0.00013740655865755502,8,1024,8,300,75,1724443944.8715003,1724437390.6760404,1.4253381490707397
30_0,complete,10000,512,333,0.0001463329661313034,4,512,3,200,52,1724476558.5856984,1724475615.499166,1.4266303777694702
56_1,complete,10000,512,1000,0.0002694719803101243,8,512,8,1400,64,1724580901.1545208,1724529173.821361,1.4266694784164429
43_2,complete,5000,512,3000,3.990556074487968e-05,4,512,3,200,76,1724502210.8274207,1724492485.0700588,1.4287135601043701
73_2,complete,100,512,3000,4.253071729094413e-05,8,1024,8,1400,71,1724746402.6061082,1724572896.136888,1.429014801979065
84_1,complete,5000,512,1000,2.1434824965442e-05,4,1024,8,200,85,1724609520.1503446,1724600706.466907,1.4295506477355957
52_2,complete,100,256,3000,0.0005538164689270808,4,1024,3,1000,71,1724588843.4290326,1724565189.7039135,1.4311968088150024
88_2,complete,5000,256,3000,0.0009471742598159451,8,512,3,700,50,1724620735.6136756,1724605528.0825827,1.4312939643859863
3_0,complete,10000,512,333,2.2433834533274747e-05,8,512,8,200,65,1724400733.8168101,1724398207.2640057,1.431456208229065
13_2,complete,5000,512,3000,2.658252351819426e-05,8,512,4,700,96,1724471536.8273711,1724420046.5262742,1.4321743249893188
19_2,complete,100,512,3000,0.0002104401842318436,4,1024,4,700,93,1724540363.4925027,1724495323.2203212,1.4336023330688477
10_1,complete,10000,256,1000,7.359299513021084e-05,4,512,6,300,85,1724411784.9350884,1724406103.5262754,1.4338544607162476
103_2,complete,10000,256,3000,0.0005531771715684195,4,512,4,1000,67,1724675130.1069067,1724640128.5202537,1.4351787567138672
101_2,complete,100,512,3000,4.401413105596373e-05,4,1024,3,300,57,1724651600.0264988,1724641678.2782478,1.4354591369628906
9_1,complete,10000,512,1000,7.476895754268585e-05,4,1024,8,500,90,1724426771.3305264,1724404244.8795033,1.4361628293991089
2_0,complete,10000,512,333,7.536062461086745e-05,8,512,2,200,87,1724399262.5514612,1724397954.928161,1.4362610578536987
92_2,complete,1000,256,3000,4.043537434162649e-05,8,512,6,1400,89,1724800387.648839,1724689777.6186278,1.4365788698196411
12_2,complete,10000,256,3000,0.0001148481548991478,8,1024,6,300,59,1724423306.1425366,1724407070.8171492,1.4368085861206055
104_2,complete,1000,512,3000,0.0001811395206527783,8,512,3,1400,93,1724726309.543646,1724642218.6991496,1.438348412513733
54_2,complete,1000,512,3000,1.9600812515826344e-05,4,512,6,300,77,1724601819.8733218,1724580901.4512348,1.438438892364502
63_2,complete,100,256,3000,4.510241380749265e-05,4,1024,4,500,98,1724602677.4839346,1724582185.2178519,1.4387038946151733
41_1,complete,5000,256,1000,0.000681812039664814,8,512,3,200,73,1724493755.420194,1724491436.691345,1.439572811126709
116_1,complete,10000,256,1000,0.00031964379686922587,8,512,8,700,71,1724690366.0116673,1724673951.0024362,1.4406523704528809
28_2,complete,1000,512,3000,0.00021405379439485143,8,1024,4,500,95,1724481140.1659977,1724443944.9611764,1.4406708478927612
26_2,complete,100,256,3000,0.00013740655865755502,8,1024,8,300,75,1724491436.4653738,1724472715.3408713,1.4412933588027954
65_1,complete,10000,256,1000,0.00014457881228810827,8,1024,4,1000,86,1724582184.9446657,1724559636.3219635,1.44143807888031
29_2,complete,100,512,3000,7.597238376008321e-05,8,1024,6,300,78,1724475615.3993232,1724450057.764161,1.4416691064834595
14_2,complete,1000,512,3000,8.996946110196511e-05,8,512,6,200,55,1724434798.0721729,1724423306.2890708,1.4419326782226562
102_2,complete,1000,256,3000,9.637227200269839e-05,4,512,8,200,95,1724652759.9808545,1724638734.1120005,1.443927526473999
42_2,complete,5000,512,3000,4.239727070683668e-05,8,512,8,300,72,1724519471.0946686,1724491932.0539372,1.4445757865905762
60_0,complete,5000,512,333,1.1978633239654526e-05,8,1024,3,200,91,1724539260.5516412,1724537638.68318,1.448312759399414
8_1,complete,10000,256,1000,0.00023255507788035062,4,1024,3,700,75,1724420046.407501,1724409523.6379735,1.4623786211013794
97_0,complete,10000,256,333,1.6821556419953543e-05,8,1024,6,200,68,1724636489.386484,1724634815.6628087,1.5144649744033813
74_2,complete,10000,512,3000,0.00031957236609715477,4,1024,8,500,81,1724634815.1898327,1724573772.0719934,2.460991621017456
71_1,complete,1000,256,1000,0.00077398238947928,4,512,8,300,87,1724562014.9144082,1724556285.163082,2.461000680923462
24_1,complete,10000,512,1000,0.0009439666357861182,8,512,6,700,53,1724450057.633102,1724435999.457354,2.461479663848877
69_1,complete,5000,512,1000,0.0008079681449836099,8,512,8,1000,68,1724586193.7580986,1724552477.9850938,2.4615676403045654
34_0,complete,5000,512,333,0.0006986462335292025,8,512,8,700,97,1724492484.864116,1724481966.3352773,2.461678981781006
89_2,complete,1000,512,3000,0.000582674442614747,8,512,6,1400,87,1724768689.4830563,1724620669.3721318,2.461865186691284
25_1,complete,1000,512,1000,0.000594140688313919,4,1024,8,1000,65,1724466815.0141528,1724436650.2583642,2.4619829654693604
118_2,pending,100,512,3000,6.298382242907529e-05,8,512,8,1400,91,,,
