config_id,status,config.buckets,config.emsize,config.epochs,config.learning_rate,config.nhead,config.nhid,config.nlayers,config.seq_len,config.steps,metadata.time_end,metadata.time_sampled,result.loss
5_1,complete,10000,256,1000,3.867480144966054e-05,4,1024,4,1400,72,1724434886.7375364,1724411785.0631366,1.2100555896759033
32_0,complete,10000,512,333,0.0007062252166123585,4,1024,2,1400,85,1724487166.6583314,1724478773.515907,1.2102916240692139
49_0,complete,100,512,333,6.344126732976414e-05,4,1024,6,1400,77,1724521124.9313416,1724507858.8288481,1.2104454040527344
32_1,complete,10000,512,1000,0.0007062252166123585,4,1024,2,1400,85,1724527143.617156,1724502255.3600876,1.2135721445083618
44_2,complete,10000,256,3000,1.7155906700607316e-05,4,1024,3,1000,59,1724526453.57102,1724493755.5598373,1.2138303518295288
92_1,complete,1000,256,1000,4.043537434162649e-05,8,512,6,1400,89,1724689777.1361337,1724652760.5987551,1.215988039970398
93_0,complete,10000,256,333,0.0003086330813575995,8,512,2,1400,88,1724629483.8754847,1724623208.0393715,1.2160289287567139
59_2,complete,1000,256,3000,1.2711074635732547e-05,4,512,2,1000,99,1724561843.282096,1724536194.4881127,1.2180160284042358
98_0,complete,100,256,333,0.0001802368953088549,4,1024,4,1400,93,1724642218.3402417,1724635261.0231636,1.2224303483963013
50_0,complete,100,256,333,0.00015662685108682234,8,1024,8,700,51,1724522075.3217695,1724518248.5669026,1.2225102186203003
4_0,complete,10000,512,333,0.00030240765568406524,4,512,3,1400,68,1724406103.4412148,1724399262.6870413,1.2230229377746582
82_0,complete,10000,256,333,0.00020580003734531297,8,1024,4,1400,69,1724608291.7893002,1724598787.2562125,1.22305428981781
52_0,complete,100,256,333,0.0005538164689270808,4,1024,3,1000,71,1724523897.8012214,1724521125.1552486,1.2238484621047974
107_0,complete,100,512,333,0.00020273130674637794,8,1024,3,1000,85,1724668841.607981,1724662760.6699362,1.2243173122406006
109_1,complete,5000,512,1000,2.791852522862134e-05,8,1024,2,700,83,1724693118.38114,1724682333.3147194,1.2246017456054688
92_0,complete,1000,256,333,4.043537434162649e-05,8,512,6,1400,89,1724635260.744689,1724622855.2171195,1.224778413772583
65_0,complete,10000,256,333,0.00014457881228810827,8,1024,4,1000,86,1724552759.694271,1724545264.0314589,1.2277950048446655
47_0,complete,5000,512,333,0.0006705983974163692,8,512,2,1400,62,1724505806.768622,1724500881.7388968,1.2306089401245117
57_2,complete,5000,512,3000,1.4290147416969415e-05,4,1024,2,500,50,1724543753.7883189,1724530985.2905245,1.2306983470916748
38_0,complete,5000,512,333,0.00014045856506467335,8,1024,6,1400,66,1724502255.1499057,1724487166.8249838,1.2311500310897827
23_0,complete,10000,256,333,0.00010845194724630912,8,512,6,1400,94,1724450846.175376,1724435864.3656807,1.2313867807388306
39_1,complete,1000,512,1000,4.0781032438551304e-05,8,1024,4,1400,59,1724514854.5213652,1724488970.1306775,1.2325866222381592
36_0,complete,5000,512,333,0.00018698239520574157,4,1024,2,1000,74,1724488969.9876056,1724484758.795012,1.2343147993087769
75_0,complete,1000,512,333,0.00016747657785047505,8,1024,8,1000,66,1724600706.1030931,1724588843.8249736,1.2353730201721191
87_2,complete,10000,512,3000,1.2699946582597822e-05,8,512,2,1000,56,1724633892.1090424,1724603147.331115,1.2354366779327393
5_2,complete,10000,256,3000,3.867480144966054e-05,4,1024,4,1400,72,1724503777.0551574,1724434886.8861413,1.2354962825775146
48_0,complete,100,512,333,2.679315335302309e-05,4,512,3,1400,70,1724507858.6594577,1724502211.0663655,1.2364152669906616
111_0,complete,100,512,333,0.0009058432428291034,8,512,3,700,56,1724673690.5021365,1724671168.2400315,1.236781120300293
37_0,complete,5000,256,333,0.00012169475244416716,4,1024,2,700,100,1724489547.4120028,1724486727.7852063,1.238837480545044
19_0,complete,100,512,333,0.0002104401842318436,4,1024,4,700,93,1724435999.362933,1724430910.3349082,1.2389832735061646
63_0,complete,100,256,333,4.510241380749265e-05,4,1024,4,500,98,1724545263.8027573,1724542995.4978359,1.2460918426513672
70_1,complete,5000,256,1000,6.657589116444639e-05,8,1024,2,500,54,1724556284.9510436,1724552759.9642487,1.2510898113250732
101_1,complete,100,512,1000,4.401413105596373e-05,4,1024,3,300,57,1724640128.1116312,1724636489.6716006,1.2531685829162598
63_1,complete,100,256,1000,4.510241380749265e-05,4,1024,4,500,98,1724568890.9034386,1724561843.5868046,1.2543271780014038
8_0,complete,10000,256,333,0.00023255507788035062,4,1024,3,700,75,1724407060.0093794,1724403735.2324746,1.255354404449463
85_1,complete,1000,512,1000,3.587962704039714e-05,8,1024,4,1000,51,1724616183.874731,1724601820.1703377,1.2557340860366821
78_0,complete,5000,256,333,0.00013619585925061988,4,512,3,700,74,1724597857.4075837,1724595550.0768642,1.2566429376602173
5_0,complete,10000,256,333,3.867480144966054e-05,4,1024,4,1400,72,1724408615.3907874,1724400708.2309783,1.2573583126068115
31_0,complete,5000,512,333,4.7559250692428666e-05,8,512,8,1000,60,1724486727.6414452,1724476558.6304624,1.2622294425964355
21_0,complete,100,256,333,0.00014496529374536814,8,512,4,500,96,1724437390.5939937,1724434996.070274,1.2639975547790527
61_0,complete,5000,256,333,5.001870644377451e-05,4,1024,6,700,68,1724542995.2169142,1724539260.6467683,1.2664481401443481
95_0,complete,10000,512,333,4.970222857187188e-05,8,512,6,700,93,1724642308.5715547,1724633892.5336087,1.2677034139633179
67_0,complete,100,512,333,0.0002443258428991826,8,512,2,300,75,1724550781.6384144,1724549704.701827,1.2680145502090454
79_0,complete,1000,512,333,0.0005945606791112666,4,1024,2,300,64,1724598069.355727,1724596994.0067985,1.2706451416015625
109_0,complete,5000,512,333,2.791852522862134e-05,8,1024,2,700,83,1724674026.8228238,1724670334.3282027,1.273133635520935
6_0,complete,5000,256,333,9.713375886246646e-05,8,512,8,700,88,1724407070.7588172,1724400733.8576992,1.2766488790512085
15_0,complete,1000,256,333,0.0006599921883407947,8,1024,8,1400,86,1724443821.073696,1724426771.4634001,1.2768443822860718
100_1,complete,100,256,1000,5.332117597565052e-05,4,1024,2,200,95,1724638733.644555,1724636352.7192357,1.2782894372940063
76_0,complete,1000,256,333,9.299187563266656e-05,8,1024,4,300,84,1724593829.5548894,1724592205.5991824,1.281383752822876
78_1,complete,5000,256,1000,0.00013619585925061988,4,512,3,700,74,1724620665.2384732,1724614460.430545,1.2834635972976685
32_2,complete,10000,512,3000,0.0007062252166123585,4,1024,2,1400,85,1724620718.6228967,1724547824.8696973,1.2848246097564697
