bandwidth,kernel,nll
0.001,gaussian,12174.89845381124
0.0010092621909870473,gaussian,12672.046152399824
0.0010186101701559753,gaussian,11887.958337860802
0.0010280447320933097,gaussian,11498.283633703482
0.0010375666787451859,gaussian,11282.856907792577
0.0010471768194855202,gaussian,11049.106443932946
0.0010568759711848039,gaussian,11146.281756921791
0.0010666649582795388,gaussian,10684.888281420906
0.001076544612842316,gaussian,10493.996612185936
0.0010865157746525384,gaussian,10003.486967075924
0.0010965792912678099,gaussian,10218.100362016457
0.0011067360180959734,gaussian,9936.558474625257
0.0011169868184678225,gaussian,10042.25457532224
0.0011273325637104871,gaussian,9472.436192762563
0.0011377741332214914,gaussian,9557.71781189274
0.0011483124145435111,gaussian,9009.057526425077
0.0011589483034398105,gaussian,9097.62587844597
0.0011696827039703846,gaussian,8827.495109455398
0.0011805165285688056,gaussian,8667.675900688637
0.001191450698119776,gaussian,8770.270584374435
0.0012024861420374122,gaussian,8289.944793066541
0.0012136237983442406,gaussian,8330.645350665483
0.0012248646137509307,gaussian,8430.030159487698
0.0012362095437367692,gaussian,8202.486370315306
0.0012476595526308698,gaussian,7970.825215432368
0.001259215613694151,gaussian,7922.574987898265
0.0012708787092020582,gaussian,7908.8848299827105
0.0012826498305280598,gaussian,7581.435339679168
0.001294529978227916,gaussian,7716.788011045189
0.0013065201621247212,gaussian,6607.714523691994
0.0013186214013947485,gaussian,7001.470905707594
0.0013308347246540747,gaussian,6977.699647571816
0.0013431611700460153,gaussian,7082.127170775123
0.001355601785329369,gaussian,6690.06359910934
0.001368157627967472,gaussian,6435.975541911753
0.0013808297652180923,gaussian,6511.311559416649
0.0013936192742241421,gaussian,6370.331340755734
0.0014065272421052363,gaussian,6080.976856373145
0.0014195547660501016,gaussian,6256.270655325385
0.001432702953409831,gaussian,5949.625163452926
0.0014459729217920197,gaussian,5845.368226921942
0.0014593657991557561,gaussian,6117.472370122803
0.0014728827239075019,gaussian,5903.620157183144
0.0014865248449978572,gaussian,5502.898244636399
0.0015002933220192183,gaussian,5439.220588515375
0.001514189325304352,gaussian,5432.458849687196
0.0015282140360258693,gaussian,5469.588360635692
0.001542368646296629,gaussian,5278.1802865045165
0.001556654359271062,gaussian,5268.162169503298
0.0015710723892474504,gaussian,5123.206424080856
0.001585623961771137,gaussian,4997.09489479793
0.0016003103137387001,gaussian,4927.5510771830695
0.0016151326935030914,gaussian,4892.039676039107
0.0016300923609797412,gaussian,4706.036989070236
0.0016451905877536625,gaussian,4307.018759851372
0.0016604286571875295,gaussian,4522.11033717692
0.0016758078645307671,gaussian,4201.250927562925
